"subjID","gain","loss","cert","gamble"
"ff1d7a9a28686c2b","12.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","11.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","16.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","14.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","20.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","18.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","18.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","14.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","18.0","0.0","7.0","1.0"
"ff1d7a9a28686c2b","14.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","18.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","13.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","18.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","16.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","10.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","12.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","10.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","20.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","16.0","0.0","5.0","0.0"
"ff1d7a9a28686c2b","13.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","12.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","14.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","11.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","14.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","13.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","20.0","0.0","7.0","1.0"
"ff1d7a9a28686c2b","12.0","0.0","6.0","0.0"
"ff1d7a9a28686c2b","16.0","-3.0","0.0","0.0"
"ff1d7a9a28686c2b","13.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","16.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","12.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","16.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","18.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","18.0","0.0","6.0","1.0"
"ff1d7a9a28686c2b","16.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","16.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","16.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","10.0","-4.0","0.0","0.0"
"ff1d7a9a28686c2b","18.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","10.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","12.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","18.0","0.0","6.0","0.0"
"ff1d7a9a28686c2b","13.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","12.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","14.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","12.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","18.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","18.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","18.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","18.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","16.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","12.0","0.0","5.0","0.0"
"ff1d7a9a28686c2b","10.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","18.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","14.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","18.0","-6.0","0.0","0.0"
