"subjID","rt","win","trial_type","gain","loss","cert","gamble"
"27902f23b60a7b76","1395.0","0.0","102","8.0","0.0","6.0","0.0"
"27902f23b60a7b76","1816.0","0.0","101","13.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1454.0","0.0","101","18.0","-8.0","0.0","0.0"
"27902f23b60a7b76","920.0","1.0","101","12.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1363.0","0.0","102","6.0","0.0","4.0","0.0"
"27902f23b60a7b76","1390.0","1.0","101","12.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1266.0","1.0","102","10.0","0.0","6.0","1.0"
"27902f23b60a7b76","1538.0","1.0","102","12.0","0.0","5.0","1.0"
"27902f23b60a7b76","1166.0","0.0","101","14.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1811.0","1.0","102","12.0","0.0","6.0","1.0"
"27902f23b60a7b76","1210.0","1.0","101","15.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1297.0","1.0","102","14.0","0.0","3.0","1.0"
"27902f23b60a7b76","1427.0","1.0","101","12.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1798.0","1.0","101","16.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1465.0","1.0","102","8.0","0.0","4.0","1.0"
"27902f23b60a7b76","1337.0","1.0","102","14.0","0.0","7.0","1.0"
"27902f23b60a7b76","1188.0","1.0","102","6.0","0.0","6.0","0.0"
"27902f23b60a7b76","1245.0","0.0","101","12.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1477.0","0.0","101","12.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1812.0","1.0","101","13.0","-6.0","0.0","0.0"
"27902f23b60a7b76","894.0","0.0","102","10.0","0.0","3.0","1.0"
"27902f23b60a7b76","1325.0","1.0","102","12.0","0.0","4.0","1.0"
"27902f23b60a7b76","1180.0","1.0","101","16.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1560.0","1.0","102","6.0","0.0","3.0","1.0"
"27902f23b60a7b76","1487.0","0.0","101","14.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1189.0","1.0","102","12.0","0.0","3.0","1.0"
"27902f23b60a7b76","1216.0","1.0","101","18.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1373.0","0.0","101","20.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1236.0","1.0","101","13.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1392.0","1.0","101","15.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1456.0","0.0","102","6.0","0.0","7.0","0.0"
"27902f23b60a7b76","1263.0","1.0","101","13.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1362.0","0.0","102","8.0","0.0","6.0","0.0"
"27902f23b60a7b76","1950.0","0.0","101","16.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1148.0","1.0","102","10.0","0.0","4.0","1.0"
"27902f23b60a7b76","1508.0","1.0","102","10.0","0.0","5.0","1.0"
"27902f23b60a7b76","987.0","1.0","101","12.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1467.0","1.0","101","15.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1365.0","1.0","101","13.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1472.0","0.0","101","16.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1337.0","0.0","101","13.0","-10.0","0.0","0.0"
"27902f23b60a7b76","1540.0","1.0","101","16.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1330.0","0.0","101","16.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1308.0","0.0","101","12.0","-5.0","0.0","0.0"
"27902f23b60a7b76","1129.0","0.0","102","14.0","0.0","7.0","1.0"
"27902f23b60a7b76","1715.0","0.0","102","14.0","0.0","5.0","1.0"
"27902f23b60a7b76","1320.0","1.0","101","18.0","-6.0","0.0","0.0"
"27902f23b60a7b76","2245.0","0.0","101","14.0","-4.0","0.0","0.0"
"27902f23b60a7b76","2223.0","1.0","101","20.0","-5.0","0.0","1.0"
"27902f23b60a7b76","1254.0","1.0","101","15.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1616.0","1.0","102","14.0","0.0","3.0","1.0"
"27902f23b60a7b76","1658.0","0.0","102","10.0","0.0","5.0","1.0"
"27902f23b60a7b76","1038.0","0.0","101","16.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1594.0","0.0","101","12.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1583.0","1.0","101","14.0","-5.0","0.0","0.0"
"27902f23b60a7b76","904.0","1.0","101","13.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1411.0","1.0","102","10.0","0.0","7.0","0.0"
"27902f23b60a7b76","1306.0","0.0","101","12.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1132.0","1.0","101","16.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1270.0","0.0","101","14.0","-6.0","0.0","0.0"
"27902f23b60a7b76","1342.0","0.0","101","16.0","-10.0","0.0","0.0"
"27902f23b60a7b76","957.0","1.0","101","16.0","-2.0","0.0","1.0"
"27902f23b60a7b76","1346.0","0.0","101","13.0","-5.0","0.0","0.0"
"27902f23b60a7b76","861.0","0.0","101","20.0","-4.0","0.0","1.0"
"27902f23b60a7b76","1333.0","0.0","101","18.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1715.0","0.0","102","14.0","0.0","5.0","1.0"
"27902f23b60a7b76","1478.0","1.0","102","10.0","0.0","3.0","1.0"
"27902f23b60a7b76","1131.0","0.0","101","16.0","-3.0","0.0","1.0"
"27902f23b60a7b76","1124.0","0.0","101","14.0","-8.0","0.0","0.0"
"27902f23b60a7b76","1187.0","1.0","102","8.0","0.0","5.0","0.0"
"819c4ba6a036130b","1273.0","1.0","101","10.0","-4.0","0.0","1.0"
"819c4ba6a036130b","946.0","0.0","101","8.0","-4.0","0.0","1.0"
"819c4ba6a036130b","560.0","0.0","101","11.0","-5.0","0.0","1.0"
"819c4ba6a036130b","876.0","0.0","102","20.0","0.0","3.0","1.0"
"819c4ba6a036130b","763.0","1.0","102","14.0","0.0","7.0","0.0"
"819c4ba6a036130b","1049.0","1.0","101","8.0","-6.0","0.0","0.0"
"819c4ba6a036130b","805.0","1.0","101","16.0","-5.0","0.0","1.0"
"819c4ba6a036130b","651.0","0.0","101","11.0","-3.0","0.0","1.0"
"819c4ba6a036130b","850.0","1.0","102","18.0","0.0","6.0","1.0"
"819c4ba6a036130b","711.0","0.0","102","12.0","0.0","6.0","1.0"
"819c4ba6a036130b","1166.0","0.0","101","16.0","-10.0","0.0","0.0"
"819c4ba6a036130b","878.0","1.0","101","8.0","-2.0","0.0","1.0"
"819c4ba6a036130b","648.0","1.0","101","14.0","-6.0","0.0","1.0"
"819c4ba6a036130b","380.0","0.0","101","11.0","-10.0","0.0","1.0"
"819c4ba6a036130b","1056.0","1.0","101","12.0","-10.0","0.0","0.0"
"819c4ba6a036130b","819.0","0.0","102","20.0","0.0","5.0","1.0"
"819c4ba6a036130b","1095.0","0.0","101","12.0","-3.0","0.0","0.0"
"819c4ba6a036130b","1255.0","0.0","101","9.0","-10.0","0.0","0.0"
"819c4ba6a036130b","680.0","0.0","101","12.0","-6.0","0.0","1.0"
