"subjID","rt","win","trial_type","gain","loss","cert","gamble"
"ff1d7a9a28686c2b","940.0","0.0","101","16.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1516.0","0.0","101","14.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","1454.0","0.0","102","20.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1550.0","0.0","101","18.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1189.0","1.0","101","18.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","1833.0","0.0","102","14.0","0.0","4.0","1.0"
"ff1d7a9a28686c2b","1662.0","1.0","102","18.0","0.0","7.0","1.0"
"ff1d7a9a28686c2b","1848.0","0.0","101","14.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","1507.0","0.0","101","18.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1787.0","0.0","101","13.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","1212.0","1.0","101","18.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","1301.0","0.0","102","16.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","1340.0","0.0","101","10.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1139.0","0.0","101","12.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1865.0","0.0","101","10.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","1508.0","1.0","102","20.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","2942.0","0.0","102","16.0","0.0","5.0","0.0"
"ff1d7a9a28686c2b","1286.0","0.0","101","13.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","1129.0","1.0","101","12.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1109.0","1.0","101","14.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1091.0","0.0","101","11.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","1435.0","1.0","101","14.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","1894.0","0.0","101","13.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","1164.0","1.0","102","20.0","0.0","7.0","1.0"
"ff1d7a9a28686c2b","1606.0","0.0","102","12.0","0.0","6.0","0.0"
"ff1d7a9a28686c2b","1716.0","1.0","101","16.0","-3.0","0.0","0.0"
"ff1d7a9a28686c2b","1370.0","1.0","101","13.0","-6.0","0.0","0.0"
"ff1d7a9a28686c2b","2033.0","1.0","101","16.0","-3.0","0.0","1.0"
"ff1d7a9a28686c2b","1723.0","1.0","101","12.0","-2.0","0.0","1.0"
"ff1d7a9a28686c2b","1912.0","0.0","101","16.0","-8.0","0.0","0.0"
"ff1d7a9a28686c2b","1420.0","0.0","102","18.0","0.0","3.0","1.0"
"ff1d7a9a28686c2b","1394.0","1.0","102","18.0","0.0","6.0","1.0"
"ff1d7a9a28686c2b","1540.0","0.0","102","16.0","0.0","5.0","1.0"
"ff1d7a9a28686c2b","3616.0","1.0","101","16.0","-4.0","0.0","1.0"
"ff1d7a9a28686c2b","982.0","0.0","101","16.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1190.0","0.0","101","10.0","-4.0","0.0","0.0"
"ff1d7a9a28686c2b","1209.0","0.0","101","18.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1047.0","0.0","101","10.0","-5.0","0.0","0.0"
"ff1d7a9a28686c2b","1227.0","0.0","102","12.0","0.0","7.0","0.0"
"ff1d7a9a28686c2b","1816.0","0.0","102","18.0","0.0","6.0","0.0"
"ff1d7a9a28686c2b","1281.0","0.0","101","13.0","-10.0","0.0","0.0"
"ff1d7a9a28686c2b","1755.0","0.0","101","12.0","-3.0","0.0","1.0"
